Unnamed: 0,Model,Hour,nRVs,Total_Sensing_Coverage,New_Locations_Sensing_Coverage,Order_Overdue,Average_Driving_Incentive,Average_Driving_Incentive_Index,executionTime
0,DeliSense,11,500.0,9449,2438,295,20.848690693431152,0.9187747008924136,13911.967271089554
1,DeliSense,12,500.0,9073,2062,102,16.09173526077089,1.6490309240756562,4019.3055469989777
2,DeliSense,13,500.0,8378,1367,29,12.208297648012971,2.7910017818873265,1738.0130906105042
3,DeliSense,14,500.0,8201,1190,13,12.186164874551949,2.2955000229802813,1522.095611333847
4,DeliSense,15,500.0,8144,1133,11,7.387493333333337,1.3885668582774224,1438.6836111545565
5,DeliSense,16,500.0,8173,1162,19,7.797008443908322,1.6040723860459964,1465.230945110321
6,DeliSense,17,500.0,8287,1276,26,11.505588768115938,1.6473273096186014,1658.92053937912
7,DeliSense,18,500.0,8372,1361,33,8.921136571952337,1.336975764224642,1692.5071823596954
8,DeliSense,19,500.0,8308,1297,24,11.32916067146283,1.48961812852686,1471.9347066879272
9,DeliSense,20,500.0,8113,1102,13,7.529915110356538,1.354076224041345,1386.028048038483
10,DeliSense,21,500.0,8011,1000,4,9.175734463276845,1.6308049549406889,1340.4908702373505
11,DeliSense,22,500.0,7882,871,3,10.363559322033897,1.5354057924865916,1335.9250211715698
12,DeliSense,23,500.0,7871,860,1,8.486153846153845,1.0750064702900304,1330.2687499523165
0,fdd-sdp,0,,7011,0,3,5.973728813559322,1.787651957500172,4.462474346160889
1,fdd-sdp,1,,7011,0,1,5.376153846153846,1.551561024409764,2.9093313217163086
2,fdd-sdp,2,,7011,0,3,1.2000000000000002,2.0302083333333334,1.6202058792114258
3,fdd-sdp,3,,7011,0,0,0.0,,1.027184247970581
4,fdd-sdp,4,,7011,0,0,0.0,,0.5301685333251953
5,fdd-sdp,5,,7011,0,0,0.0,,0.5693485736846924
6,fdd-sdp,6,,7011,0,1,0.5145454545454545,1.2699999999999998,2.1064085960388184
7,fdd-sdp,7,,7041,30,2,8.97260663507109,1.9911917450490144,11.670465469360352
8,fdd-sdp,8,,7079,68,15,9.073015873015876,2.3890277672006053,70.63632082939148
9,fdd-sdp,9,,7101,90,14,6.76824758842444,1.6852803913065968,104.72114896774292
10,fdd-sdp,10,,7208,197,37,12.949715578539037,1.1290294399734755,2523.876795530319
0,dsd-tsm,0,,8485,1474,142,1.0703389830508472,0.1149294251326848,34.22455072402954
1,dsd-tsm,1,,8147,1136,90,1.5599999999999996,0.1144996569559078,26.962826013565063
2,dsd-tsm,2,,7940,929,58,1.777083333333333,0.1238790965461717,25.46218490600586
3,dsd-tsm,3,,7696,685,37,2.8,0.147395189042706,24.674397945404053
